Date,Description,Amount,Balance
03/07/25,הע. אינטרנט,1660.0,177344.47
02/07/25,לאומי ויזה,4654.47,179004.47
01/07/25,מסלול בסיסי,10.0,183658.94
01/07/25,עיריית ירושל-י,198.43,183668.94
30/06/25,רבית זכות,6.37,183867.37
30/06/25,מס הכנסה,0.96,183861.0
30/06/25,עמ.הקצאת אשראי,12.0,183861.96
01/07/25,קופת פנסיה ל-י,2993.55,183873.96
30/06/25,הראל חברה לב-י,3361.61,180880.41
30/06/25,מנהלת הגמלאו-י,11992.11,177518.8
25/06/25,"ביטוח.ל-אזו""-י",2613.0,165526.69
12/06/25,העברה עצמית,1120.0,162913.69
10/06/25,שירותי בריאו-י,72.11,164033.69
03/06/25,לאומי ויזה,4988.56,164105.8
01/06/25,העברה דיגיטל,2400.0,169094.36
01/06/25,מסלול בסיסי,10.0,171494.36
01/06/25,עמל.ערוץ יש 1,1.65,171504.36
01/06/25,עיריית ירושל-י,199.01,171506.01
01/06/25,קופת פנסיה ל-י,2993.55,171705.02
30/05/25,הראל חברה לב-י,3371.61,168711.47
29/05/25,מנהלת הגמלאו-י,8081.38,165339.86
28/05/25,"ביטוח.ל-אזו""-י",2613.0,157258.48
19/05/25,הוראת קבע,396.0,154645.48
18/05/25,הע. אינטרנט,750.0,155041.48
13/05/25,הע. אינטרנט,910.0,155791.48
09/05/25,שירותי בריאו-י,71.34,156701.48
02/05/25,הע. אינטרנט,1820.0,156772.82
02/05/25,מסלול בסיסי,10.0,158592.82
02/05/25,עמל.ערוץ יש 3,4.95,158602.82
02/05/25,לאומי ויזה,6228.18,158607.77
02/05/25,עיריית ירושל-י,196.88,164835.95
02/05/25,קופת פנסיה ל-י,2993.55,165032.83
30/04/25,הראל חברה לב-י,3335.57,162039.28
29/04/25,מנהלת הגמלאו-י,8081.38,158703.71
23/04/25,"ביטוח.ל-אזו""-י",2613.0,150622.33
20/04/25,הוראת קבע,396.0,148009.33
17/04/25,הע. אינטרנט,1024.0,148405.33
10/04/25,שירותי בריאו-י,70.99,149429.33
08/04/25,הע. אינטרנט,252.0,149500.32
07/04/25,"מ""ה החזרי מס-י",5.31,149752.32
04/04/25,הע. אינטרנט,1250.0,149747.01
02/04/25,לאומי ויזה,4168.71,150997.01
01/04/25,מסלול בסיסי,10.0,155165.72
01/04/25,עיריית ירושל-י,195.92,155175.72
31/03/25,רבית זכות,18.49,155371.64
31/03/25,מס הכנסה,2.77,155353.15
31/03/25,עמ.הקצאת אשראי,12.0,155355.92
01/04/25,קופת פנסיה ל-י,2993.55,155367.92
31/03/25,הראל חברה לב-י,3319.29,152374.37
31/03/25,מנהלת הגמלאו-י,8419.38,149055.08
24/03/25,"ביטוח.ל-אזו""-י",2613.0,140635.7
19/03/25,הוראת קבע,396.0,138022.7
12/03/25,הע. אינטרנט,826.0,138418.7
10/03/25,שירותי בריאו-י,70.99,139244.7
04/03/25,הע. אינטרנט,1706.0,139315.69
02/03/25,מסלול בסיסי,10.0,141021.69
02/03/25,עמל.ערוץ יש 1,1.65,141031.69
02/03/25,לאומי ויזה,6019.65,141033.34
02/03/25,עיריית ירושל-י,195.92,147052.99
02/03/25,קופת פנסיה ל-י,2993.55,147248.91
28/02/25,הראל חברה לב-י,3319.29,144255.36
28/02/25,"ביטוח.ל-אזו""-י",2613.0,140936.07
27/02/25,מנהלת הגמלאו-י,8081.38,138323.07
21/02/25,הע. אינטרנט,300.0,130241.69
19/02/25,הוראת קבע,396.0,130541.69
18/02/25,העברה עצמית,551.0,130937.69
12/02/25,הע. אינטרנט,1248.0,131488.69
10/02/25,העברה עצמית,850.0,132736.69
10/02/25,שירותי בריאו-י,70.59,133586.69
09/02/25,הע. אינטרנט,200.0,133657.28
06/02/25,הע. אינטרנט,1653.0,133857.28
02/02/25,מסלול בסיסי,10.0,135510.28
02/02/25,עמל.ערוץ יש 3,4.95,135520.28
02/02/25,לאומי ויזה,4111.14,135525.23
02/02/25,עיריית ירושל-י,196.21,139636.37
02/02/25,קופת פנסיה ל-י,2993.55,139832.58
31/01/25,הראל חברה לב-י,3300.69,136839.03
31/01/25,הפקדת מזומן,1329.0,133538.34
31/01/25,גביית עמלה,28.8,132209.34
30/01/25,מנהלת הגמלאו-י,8081.38,132238.14
29/01/25,משיכת מזומן,206.5,124156.76
28/01/25,"ביטוח.ל-אזו""-י",2613.0,124363.26
27/01/25,העברה עצמית,180.0,121750.26
27/01/25,הע. אינטרנט,350.0,121930.26
23/01/25,הפקדת מזומן,804.1,122280.26
23/01/25,גביית עמלה,72.0,121476.16
19/01/25,הוראת קבע,396.0,121548.16
10/01/25,שירותי בריאו-י,70.79,121944.16
06/01/25,הע. אינטרנט,1307.0,122014.95
05/01/25,הע. אינטרנט,1940.0,123321.95
05/01/25,עיריית ירושל-י,196.21,125261.95
02/01/25,לאומי ויזה,5697.34,125458.16
01/01/25,מסלול בסיסי,10.0,131155.5
01/01/25,עמל.ערוץ יש 1,1.65,131165.5
31/12/24,רבית זכות,12.5,131167.15
31/12/24,מס הכנסה,1.88,131154.65
31/12/24,עמ.הקצאת אשראי,12.0,131156.53
01/01/25,קופת פנסיה ל-י,2899.56,131168.53
31/12/24,הראל חברה לב-י,3309.76,128268.97
31/12/24,מנהלת הגמלאו-י,7853.15,124959.21
29/12/24,משיכת מזומן,206.5,117106.06
29/12/24,משיכת מזומן,56.5,117312.56
